model,tuning_MAE,test_R2,test_RMSE,test_MAE,max_residual,top_features,top_feature_weights
cat_ordinal,32.84687027424055,0.8089157600899861,47.72227091579331,36.589702433050796,211.5955098310243,"[""stage"", ""rarity"", ""weight"", ""height"", ""type_2""]","[47.8743994350729, 17.40742330231097, 13.21929402594809, 5.4118404245520795, 5.061861173860488]"
cat_native,32.48394733019062,0.8186633774181276,46.48913104671924,35.55662683759574,194.10838099929794,"[""stage"", ""weight"", ""rarity"", ""height"", ""color""]","[45.03634583428715, 11.471920741486638, 11.227460396046613, 8.830571639468378, 6.911457918699191]"
light_gbm,30.97030572539113,0.8480805439873685,42.55154814885716,30.721458431718577,203.38442176057566,"[""weight"", ""height"", ""generation"", ""type_1"", ""color""]","[40.127077223851416, 19.97719126751385, 16.308243727598565, 7.155425219941349, 5.428478331704138]"
