model,tuning_MAE,test_R2,test_RMSE,test_MAE,max_residual,top_features,top_feature_weights
cat_ordinal,31.970489386825538,0.7983611832385139,49.02253185875124,37.303652855855894,218.01963488903277,"[""stage"", ""rarity"", ""height"", ""weight"", ""type_1""]","[52.27067839152411, 13.739203312505628, 12.823581661760329, 7.306788947803177, 3.61795222186967]"
cat_native,31.975314332678177,0.7975398165169465,49.12227593412432,37.498613247885295,208.85380291952117,"[""stage"", ""rarity"", ""height"", ""weight"", ""shape""]","[57.857401402939026, 12.321462023200832, 8.915780167127888, 7.643743868152877, 3.238695347134102]"
light_gbm,31.345065794658456,0.8439876683802615,43.12093121207895,31.26553871034684,199.3243806589967,"[""weight"", ""height"", ""type_1"", ""generation"", ""type_2""]","[22.675647120972002, 15.649762282091917, 15.015847860538827, 13.893291072371897, 9.231378763866879]"
